,Business License,Business Name,Address,City,State,Zip Code,Latitude,Longitude
168,09FOOD-0101,Holiday Inn University Plaza,1501 SHERMAN AVE,Evanston,IL,60201,42.0444167,-87.68152447534528
169,09FOOD-0183,Saint Francis Hospital,355 RIDGE AVE,Evanston,IL,60202,42.0247437,-87.68338109068567
170,18FOOD-0037,Backlot Hospitality,1042 WESLEY AVE,Evanston,IL,60202,42.0373732,-87.6915966
171,18FOOD-0013,Prairie Moon,1635 CHICAGO AVE,Evanston,IL,60201,42.0473246,-87.6788551
172,11FOOD-0018,Grace Lutheran Church,1430 SOUTH BLVD,Evanston,IL,60202,42.027359700000005,-87.69277904065001
173,18FOOD-0052,Levy at Welsh-Ryan Arena,2705 ASHLAND AVE,Evanston,IL,60201,42.0668689,-87.69244045191044
174,09FOOD-0132,Kikka,1640 CHICAGO AVE,Evanston,IL,60201,42.0475851,-87.6796031479214
175,18FOOD-0030,Plum Market,2332 CAMPUS DR,Evanston,IL,60208,42.06020127956239,-87.67422002222364
176,09FOOD-0173,Union Pizzeria,1245 CHICAGO AVE,Evanston,IL,60202,42.0408835,-87.6802409
177,16FOOD-0017,Union Squared Evanston,1307 CHICAGO AVE,Evanston,IL,60201,42.0414692,-87.6803792
178,09FOOD-0329,Whole Foods Market #314,1640 CHICAGO AVE,Evanston,IL,60201,42.0475851,-87.6796031479214
179,12FOOD-0018,Ward Eight,629 HOWARD ST,Evanston,IL,60202,42.0196015,-87.6796843
180,17FOOD-0047,Theo Ubique Cabaret Theatre,721 HOWARD ST,Evanston,IL,60202,42.019667850000005,-87.681578925591
181,10FOOD-0022,Bar Louie,1520 SHERMAN AVE,Evanston,IL,60201,42.0453401,-87.6821167
182,09FOOD-0333,Trattoria Demi,1571 SHERMAN AVE,Evanston,IL,60201,42.0461989,-87.6815357
183,09FOOD-0184,Albany Care,901 MAPLE AVE,Evanston,IL,60202,42.0342163,-87.6850127
184,15FOOD-0025,La Principal,700 MAIN ST,Evanston,IL,60202,42.0338405,-87.6808815
185,14FOOD-0018,Ten Mile House,1700 CENTRAL ST,Evanston,IL,60201,42.0641644,-87.6959394
186,14FOOD-0041,Bagel Art,615 DEMPSTER ST,Evanston,IL,60201,42.0413224,-87.6812729
187,09FOOD-0117,Bennison's Bakery,1000 DAVIS ST,Evanston,IL,60201,42.0468618,-87.6851927
190,18FOOD-0018,Summer Food - Chute School,1400 OAKTON ST,Evanston,IL,60202,42.026355550000005,-87.6935776688402
191,09FOOD-0245,Mt. Everest Restaurant,630 CHURCH ST,Evanston,IL,60201,42.0479831,-87.6803467
192,15FOOD-0012,The Spice & Tea Exchange of Evanston,1615 SHERMAN AVE,Evanston,IL,60201,42.0476249,-87.6816
193,13FOOD-0021,New Lucky Main Pantry,510 MAIN ST,Evanston,IL,60202,42.0337843,-87.6782356
194,09FOOD-0119,Foodstuffs,2106 CENTRAL ST,Evanston,IL,60201,42.0641957,-87.7024045
195,15FOOD-0044,Harold's Chicken Shack,337 HOWARD ST,Evanston,IL,60202,42.0195318,-87.6744706
196,13FOOD-0038,Tomate Fresh Kitchen,914 1/2 NOYES ST,Evanston,IL,60201,42.0583126,-87.6837623
197,09FOOD-0180,Citgo,443 ASBURY AVE,Evanston,IL,60202,42.0264434,-87.6898784
198,09FOOD-0068,Cross-Rhodes,913 1/2 CHICAGO AVE,Evanston,IL,60202,42.0344971,-87.67932
199,09FOOD-0182,Evanston Hospital,2650 RIDGE AVE,Evanston,IL,60201,42.06460645,-87.68446376519424
201,09FOOD-0007,Oakton & Dodge Shell,500 DODGE AVE,Evanston,IL,60202,42.0269067,-87.69987552522808
203,13FOOD-0060,Next of Kinship,625 DAVIS ST,Evanston,IL,60201,42.0467897,-87.6807943
204,13FOOD-0009,La Macchina Cafe,1620 ORRINGTON AVE,Evanston,IL,60201,42.0475607,-87.6813808
205,13FOOD-0008,Naf Naf Grill,1629 ORRINGTON AVE,Evanston,IL,60201,42.0476324,-87.680764
206,14FOOD-0007,Office Max #6212,2255 HOWARD ST,Evanston,IL,60202,42.0192283,-87.68683678761914
207,09FOOD-0338,The Stained Glass,1735 BENSON AVE,Evanston,IL,60201,42.0496262,-87.6831066
208,10FOOD-0007,Crossmark Events,2450 MAIN ST,Evanston,IL,60202,42.0307762,-87.70635980266161
209,09FOOD-0394,Ebenezer A.M.E. Church,1109 EMERSON ST,Evanston,IL,60201,42.0525747,-87.68671595369402
210,15FOOD-0045,NaKorn,1622 ORRINGTON AVE,Evanston,IL,60201,42.0475972,-87.6812965
211,17FOOD-0024,Summer Food - McGaw YMCA Site# 73016,1000 GROVE ST,Evanston,IL,60201,42.0452041,-87.68548645
212,17FOOD-0034,Kombucha Brava,717 CUSTER AVE,Evanston,IL,60202,42.030871,-87.6800451
213,09FOOD-0160,Delta Discount,800 MAIN ST,Evanston,IL,60202,42.0338322,-87.6823411
214,13FOOD-0034,Peckish Pig Restaurant & Brewery,623 HOWARD ST,Evanston,IL,60202,42.0195987,-87.6793902
215,14FOOD-0043,The Unicorn Cafe,1723 SHERMAN AVE,Evanston,IL,60201,42.0493067,-87.6815575
216,12FOOD-0011,GNC,812 DAVIS ST,Evanston,IL,60201,42.0468064,-87.682495
217,10FOOD-0001,Subway #48042,2494 OAKTON ST,Evanston,IL,60202,42.0258168,-87.7083042
218,18FOOD-0019,Summer Food - King Arts School,2424 LAKE ST,Evanston,IL,60201,42.04237915,-87.70904341049027
219,17FOOD-0007,Sushi Burrito,1565 SHERMAN AVE,Evanston,IL,60201,42.0460238,-87.6815938
220,15FOOD-0005,Valli Produce,1910 DEMPSTER ST,Evanston,IL,60202,42.0385389,-87.7000926
221,14FOOD-0030,Little Beans Cafe,430 ASBURY AVE,Evanston,IL,60202,42.0259819,-87.6904817
222,09FOOD-0186,Greenwood Care,1406 CHICAGO AVE,Evanston,IL,60201,42.042962599999996,-87.68099239944507
223,13FOOD-0004,Farmhouse Tavern,703 CHURCH ST,Evanston,IL,60201,42.0485916,-87.680894
224,13FOOD-0027,Olive Mediterranean Grill,1726 SHERMAN AVE,Evanston,IL,60201,42.0494158,-87.6820735
225,09FOOD-0243,Northstar Coffee,2201 OAKTON ST,Evanston,IL,60202,42.02838185,-87.7063979493841
226,18FOOD-0005,Clarkes,720 CLARK ST,Evanston,IL,60201,42.0498289,-87.6810699
227,16FOOD-0005,Wired Coffee House,901 DAVIS ST,Evanston,IL,60201,42.0477473,-87.6846476
228,17FOOD-0026,Rock 'N Ravioli,1012 CHURCH ST,Evanston,IL,60201,42.0482977,-87.6859391
229,11FOOD-0001,Soulwich,1634 ORRINGTON AVE,Evanston,IL,60201,42.0479314,-87.6811964
230,15FOOD-0002,Curts Cafe South,1813 DEMPSTER ST,Evanston,IL,60201,42.0412842,-87.6983357
231,17FOOD-0035,Jilly's Cafe,2614 GREEN BAY RD,Evanston,IL,60201,42.0648077,-87.6994112
